# profiles	role	release	relative_path	url	expected_bytes	checksum_algorithm	expected_checksum	validator
temporal	uniprot_sprot_t0	2025_01	frozen_inputs/uniprot/2025_01/uniprot_sprot-only2025_01.tar.gz	https://ftp.uniprot.org/pub/databases/uniprot/previous_releases/release-2025_01/knowledgebase/uniprot_sprot-only2025_01.tar.gz	1688438192	-	-	tar-gzip
temporal	uniprot_knowledgebase_t0	2025_01	frozen_inputs/uniprot/2025_01/knowledgebase2025_01.tar.gz	https://ftp.uniprot.org/pub/databases/uniprot/previous_releases/release-2025_01/knowledgebase/knowledgebase2025_01.tar.gz	194669985833	-	-	tar-gzip
temporal	uniprot_relnotes_t0	2025_01	frozen_inputs/uniprot/2025_01/relnotes.txt	https://ftp.uniprot.org/pub/databases/uniprot/previous_releases/release-2025_01/relnotes.txt	-	-	-	text
temporal	uniprot_changes_t0	2025_01	frozen_inputs/uniprot/2025_01/changes.html	https://ftp.uniprot.org/pub/databases/uniprot/previous_releases/release-2025_01/changes.html	-	-	-	text
temporal,homology	uniprot_sprot_t1	2026_02	frozen_inputs/uniprot/2026_02/uniprot_sprot.dat.gz	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_sprot.dat.gz	699031150	sha256	741bcb144f98b8d10f0369b145d562b6751bfd17c285e936553aeb9cb54ab592	uniprot-dat-gzip
temporal,homology	uniprot_trembl_t1	2026_02	frozen_inputs/uniprot/2026_02/uniprot_trembl.dat.gz	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_trembl.dat.gz	118072276938	sha256	ae40f0dc517e92a9f3b9b2cf8000c977c4d08458aefb7667692133298842fe69	uniprot-dat-gzip
temporal,homology	uniprot_relnotes_t1	2026_02	frozen_inputs/uniprot/2026_02/relnotes.txt	https://ftp.uniprot.org/pub/databases/uniprot/current_release/relnotes.txt	-	-	-	text
temporal,homology	uniprot_changes_t1	2026_02	frozen_inputs/uniprot/2026_02/changes.html	https://ftp.uniprot.org/pub/databases/uniprot/current_release/changes.html	-	-	-	text
temporal	goa_t0	225	frozen_inputs/goa/225/goa_uniprot_all.gaf.225.gz	https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/UNIPROT/goa_uniprot_all.gaf.225.gz	22151171737	-	-	goa-gzip
temporal,homology	goa_t1	234	frozen_inputs/goa/234/goa_uniprot_all.gaf.234.gz	https://ftp.ebi.ac.uk/pub/databases/GO/goa/UNIPROT/goa_uniprot_all.gaf.gz	11664243116	sha256	f315375b07946a0649142b2f4de2e15e282316989677a04e7a561203186dd2ff	goa-gzip
temporal,homology	goa_t1_md5	234	frozen_inputs/goa/234/goa_uniprot_all.gaf.234.gz.md5	https://ftp.ebi.ac.uk/pub/databases/GO/goa/UNIPROT/goa_uniprot_all.gaf.gz.md5	33	md5	da6a01b6864815de3649ca3d101ed99c	md5-text
temporal,homology	goa_release_metadata_t1	234	frozen_inputs/goa/234/current_release_numbers.txt	https://ftp.ebi.ac.uk/pub/databases/GO/goa/current_release_numbers.txt	-	-	-	text
temporal	go_basic_t0	2025-02-06	frozen_inputs/ontology/2025-02-06/go-basic.obo	https://release.geneontology.org/2025-02-06/ontology/go-basic.obo	-	-	-	obo
temporal	go_full_t0	2025-02-06	frozen_inputs/ontology/2025-02-06/go.obo	https://release.geneontology.org/2025-02-06/ontology/go.obo	-	-	-	obo
temporal	go_summary_t0	2025-02-06	frozen_inputs/ontology/2025-02-06/summary.txt	https://release.geneontology.org/2025-02-06/summary.txt	-	-	-	text
temporal	go_basic_t0_source_resolution	2025-03-16	frozen_inputs/ontology/2025-03-16/go-basic.obo	https://release.geneontology.org/2025-03-16/ontology/go-basic.obo	-	-	-	obo
temporal,homology	go_basic_t1	2026-06-19	frozen_inputs/ontology/2026-06-19/go-basic.obo	https://release.geneontology.org/2026-06-19/ontology/go-basic.obo	32215811	sha256	c72fc198a86983d55e43aac585d1ffdbeb6e3601475b3f18b6045acdc0a0734c	obo
temporal	go_full_t1	2026-06-19	frozen_inputs/ontology/2026-06-19/go.obo	https://release.geneontology.org/2026-06-19/ontology/go.obo	-	-	-	obo
temporal	go_summary_t1	2026-06-19	frozen_inputs/ontology/2026-06-19/summary.txt	https://release.geneontology.org/2026-06-19/summary.txt	-	-	-	text
homology	uniref90_t1	2026_02	frozen_inputs/uniref90/2026_02/uniref90.fasta.gz	https://ftp.uniprot.org/pub/databases/uniprot/current_release/uniref/uniref90/uniref90.fasta.gz	32059052376	sha256	ed80f79bbf1f054b3ea444ce0db0819586731e4dc3a3fb0c75a60ff273eedefb	fasta-gzip
homology	idmapping_t1	2026_02	frozen_inputs/idmapping/2026_02/idmapping_selected.tab.gz	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/idmapping/idmapping_selected.tab.gz	7066467385	sha256	96707b0430f76e78f708eaa70d6cae7ccb4bb8e4b6b981c7d169215d650cc605	gzip
embedding-inputs	string_embeddings	v12.0	frozen_inputs/string/v12.0/protein.network.embeddings.v12.0.h5	https://stringdb-downloads.org/download/protein.network.embeddings.v12.0.h5	19250141917	-	-	hdf5
references	cafa3_bp_training	Zenodo-7409660	reference_artifacts/canonical_cafa3/bp-training.csv	https://zenodo.org/records/7409660/files/bp-training.csv	407342564	md5	85c19594547a503956226b9c225efc5d	csv
references	cafa3_bp_validation	Zenodo-7409660	reference_artifacts/canonical_cafa3/bp-validation.csv	https://zenodo.org/records/7409660/files/bp-validation.csv	44869679	md5	c2674223770d6a8cf680dd9335d51ebe	csv
